job title,company name,location,skills,links
Senior Backend Engineer - Python,Trufla -,"Heliopolis, Cairo, Egypt ",Full TimeExperienced · 4+ Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Agile · APIs · AWS · Computer Science · Git · Linux · Python · REST,https://wuzzuf.net/jobs/p/EGd9bPLppMK6-Senior-Backend-Engineer---Python-Trufla-Cairo-Egypt?o=1&l=sp&t=sj&a=python|search-v3|hpb
Senior Python (Django) Engineer,GetTechForce.com -,"Cairo, Egypt ",Full TimeWork From HomeExperienced · 3 - 20 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Development · Computer Science · Python · Information Technology (IT) · Software Development · Web Applications · Software · Django,https://wuzzuf.net/jobs/p/VYoLHkdh5cpA-Senior-Python-Django-Engineer-GetTechForce-com-Cairo-Egypt?o=2&l=sp&t=sj&a=python|search-v3|hpb
Python Developer - Internship,TMentors -,"Maadi, Cairo, Egypt ",InternshipStudent · IT/Software Development · Engineering - Telecom/Technology · Computer Science · Python · Software Development · RPA · Data Science · AI · Machine Learning · Automation,https://wuzzuf.net/internship/ks2Azi1kboPo-Python-Developer---Internship-TMentors-Cairo-Egypt?o=3&l=sp&t=sj&a=python|search-v3|hpb
Python Developer,Bydotpy -,"New Cairo, Cairo, Egypt ",Full TimeExperienced · 3+ Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Python · Django · Flask · RESTful API · Software Development · Information Technology (IT) · Software Engineering · Frameworks,https://wuzzuf.net/jobs/p/o1CizTuLGoFT-Python-Developer-Bydotpy-Cairo-Egypt?o=4&l=sp&t=sj&a=python|search-v3|hpb
Senior Python Backend Engineer- Core API.,Twerlo -,"Cairo, Egypt ",Full TimeWork From HomeExperienced · 5 - 7 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Agile · API · APIs · Computer Science · Git · MySQL · Information Technology (IT) · Python,https://wuzzuf.net/jobs/p/qljBOdL2vJce-Senior-Python-Backend-Engineer--Core-API-Twerlo-Cairo-Egypt?o=5&l=sp&t=sj&a=python|search-v3|hpb
Senior Python Backend Engineer Core DB,Twerlo -,"Cairo, Egypt ",Full TimeWork From HomeExperienced · 5 - 7 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · API · MySQL · Software Development · backend · Computer Science · Python · SQL · Database,https://wuzzuf.net/jobs/p/aMgMYUHusAzy-Senior-Python-Backend-Engineer-Core-DB-Twerlo-Cairo-Egypt?o=6&l=sp&t=sj&a=python|search-v3|hpb
Lead Python Developer,Twerlo -,"Cairo, Egypt ",Full TimeWork From HomeManager · 5 - 7 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Python · Agile · Computer Science · Design · Development · Engineering · Information Technology (IT) · Programming,https://wuzzuf.net/jobs/p/T9aZCc4VR1Wq-Lead-Python-Developer-Twerlo-Cairo-Egypt?o=7&l=sp&t=sj&a=python|search-v3|hpb
Python Or Electron Framework Developer (Knowledge Survivor - Desktop Application),ItsTime -,"Oakville, Canada ",Part TimeFreelance / ProjectWork From HomeExperienced · 2+ Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Python · UI · Computer Science · Information Technology (IT) · Software Development · GTK · English · Software Engineering,https://wuzzuf.net/jobs/p/6kmqfkoQ34Fi-Python-Or-Electron-Framework-Developer-Knowledge-Survivor---Desktop-Application-ItsTime-Oakville-Canada?o=8&l=sp&t=sj&a=python|search-v3|hpb
Senior Python Developer,CLOUDSIGMA AG -,"Sofia, Bulgaria ",Full TimeExperienced · 5+ Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Python3 · Relational Databases · Celery · VMWare · Django · Continous Integration · Test Driven Development · HTTP,https://wuzzuf.net/jobs/p/bjKrYXddLwLG-Senior-Python-Developer-CLOUDSIGMA-AG-Sofia-Bulgaria?o=9&l=sp&t=sj&a=python|search-v3|hpb
Flask Python Developer,Cyber security  Company -,"Cairo, Egypt ",InternshipEntry Level · IT/Software Development · Analyst/Research · Engineering - Telecom/Technology · Flask · Python · Software Development · Computer Science · Information Technology (IT),https://wuzzuf.net/internship/LGTfqNjP6gc7-Flask-Python-Developer-Cyber-security-Company-Cairo-Egypt?o=10&l=sp&t=sj&a=python|search-v3|hpb
Senior Python Django Developer,Mentor Seven -,"New Cairo, Cairo, Egypt ",Full TimeExperienced · 3+ Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Computer Science · Django · Python · Python Django · Software Development · Information Technology (IT) · ORM · Telecom Engineering,https://wuzzuf.net/jobs/p/cwxs7KB0EFeK-Senior-Python-Django-Developer-Mentor-Seven-Cairo-Egypt?o=11&l=sp&t=sj&a=python|search-v3|hpb
Senior Python Backend Developer,CROCOSOFT -,"New Cairo, Cairo, Egypt ",Full TimeWork From HomeExperienced · 2 - 5 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Python · Flask · Git · Microservice Architecture · Relational Databases · Design Patterns · English · Information Technology (IT),https://wuzzuf.net/jobs/p/ZS2AZ15Zb6gT-Senior-Python-Backend-Developer-CROCOSOFT-Cairo-Egypt?o=12&l=sp&t=sj&a=python|search-v3|hpb
Cloud Solution Engineer - Network\Cloud,Link Datacenter -,"Giza, Egypt ",Full TimeExperienced · 2 - 4 Yrs of Exp · Installation/Maintenance/Repair · IT/Software Development · Engineering - Telecom/Technology · Azure · Cloud · Computer Engineering · Computer Science · Docker · Engineering · Information Technology (IT),https://wuzzuf.net/jobs/p/Ux19TOF5VP6H-Cloud-Solution-Engineer---NetworkCloud-Link-Datacenter-Giza-Egypt?o=13&l=sp&t=sj&a=python|search-v3|hpb
System Engineer,Link Datacenter -,"Giza, Egypt ",Full TimeEntry Level · 1 - 3 Yrs of Exp · Installation/Maintenance/Repair · IT/Software Development · Engineering - Telecom/Technology · Computer Engineering · Computer Science · Engineering · English · Information Technology (IT) · Linux · MySQL,https://wuzzuf.net/jobs/p/39BgrEPMTBbr-System-Engineer-Link-Datacenter-Giza-Egypt?o=14&l=sp&t=sj&a=python|search-v3|hpb
Senior Cloud Cybersecurity Specialist,Ejada (Cairo) -,"Jeddah, Saudi Arabia ",Full TimeExperienced · 5 - 15 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Cisco · Cloud · Computer Science · CISA · GIAC · CISSP · CASP · GCIH,https://wuzzuf.net/jobs/p/588vMS0A1gvt-Senior-Cloud-Cybersecurity-Specialist-Ejada-Cairo-Jeddah-Saudi-Arabia?o=15&l=sp&t=sj&a=python|search-v3|hpb
